Id,DataPagamento,Delay,NomeLote,Periodo,Status,Valor,ValorInformado,ValorRepasse
34,2023-12-05,1 MÊS ATRASO DA SAEB,Lote 01,NOV e DEZ/2023,PAGO,9755145.62,10224874.42,PRIMEIRO REPASSE
35,2024-02-15,1 MÊS ATRASO DA SAEB,Lote 01,JAN e FEV/2024,PAGO,10578553.52,8610493.67,SEGUNDO REPASSE
36,2024-06-17,APROXIMADAMENTE 4 MESES ATRASO DA FESFSUS,Lote 01,MAR e ABR/2024,PAGO,10107863.73,8059883.34,TERCEIRO REPASSE
37,2024-09-11,APROXIMADAMENTE 5 MESES ATRASO DA FESFSUS,Lote 01,MAI e JUN/2024,PAGO,9469640.29,7000481.08,QUARTO REPASSE
38,2024-11-29,APROXIMADAMENTE  5 MESES ATRASO DA FESFSUS,Lote 01,JUL e AGO/2024,PAGO,8069537.62,7880517.97,QUINTO REPASSE
39,2024-12-18,APROXIMADAMENTE  4 MESES ATRASO DA FESFSUS,Lote 01,SET e OUT/2024,PAGO,10235508.42,11237641.09,SEXTO REPASSE
40,2025-03-25,APROXIMADAMENTE  5 MESES ATRASO DA FESFSUS,Lote 01,NOV e DEZ/2024,PAGO,12014556.26,11511569.09,SETIMO REPASSE
41,2025-04-17,APROXIMADAMENTE  4 MESES ATRASO DA FESFSUS,Lote 01,JAN e FEV/2025,PAGO,9476852.5,8081956.95,OITAVO REPASSE
42,2025-07-29,APROXIMADAMENTE  5 MESES ATRASO DA FESFSUS,Lote 01,MAR e ABR/2025,PAGO,9218310.81,9218310.91,NONO REPASSE
43,2025-10-03,APROXIMADAMENTE  5 MESES ATRASO DA FESFSUS,Lote 01,MAI e JUN/2025,PAGO,10270813.4,7962061.21,DÉCIMO REPASSE
44,2025-12-02,APROXIMADAMENTE  4 MESES ATRASO DA FESFSUS,Lote 01,JUL a AGO/2025,PAGO,11013802.69,7962061.21,DÉCIMO PRIMEIRO REPASSE
45,2023-12-01,1 MÊS ATRASO DA SAEB,Lote 02,NOV e DEZ/2023,PAGO,5707586.5,1009606.94,PRIMEIRO REPASSE
46,2024-02-15,1 MÊS ATRASO DA SAEB,Lote 02,JAN e FEV/2024,PAGO,7171992.43,2058979.61,SEGUNDO REPASSE
47,2024-06-20,APROXIMADAMENTE  4 MESES ATRASO DA FLEM NA FINALIZAÇÃO DA PRESTACAO DE CONTAS,Lote 02,MAR e ABR/2024,PAGO,6950020.41,4211942.32,TERCEIRO REPASSE
48,,NÃO HOUVE REPASSE,Lote 02,MAI e JUN/2024,,0,4968370.33,QUARTO REPASSE
49,2024-11-25,APROXIMADAMENTE  5 MESES ATRASO DA FLEM NA FINALIZAÇÃO DA PRESTACAO DE CONTAS,Lote 02,JUL e AGO/2024,PAGO,6848984.87,3307403.89,QUINTO REPASSE
50,2024-12-18,APROXIMADAMENTE  4 MESES ATRASO DA FLEM NA FINALIZAÇÃO DA PRESTACAO DE CONTAS,Lote 02,SET e OUT/2024,PAGO,6928588.63,4447815.5,SEXTO REPASSE
51,2025-03-20,APROXIMADAMENTE  5 MESES ATRASO DA FLEM NA FINALIZAÇÃO DA PRESTACAO DE CONTAS,Lote 02,NOV e DEZ/2024,PAGO,7776674.82,4359233.96,SETIMO REPASSE
52,2025-08-05,APROXIMADAMENTE  8 MESES ATRASO DA FLEM NA FINALIZAÇÃO DA PRESTACAO DE CONTAS,Lote 02,JAN e FEV/2025,PAGO,5413895.11,5332819.16,OITAVO REPASSE
53,2025-08-05,APROXIMADAMENTE  6 MESES ATRASO DA FLEM NA FINALIZAÇÃO DA PRESTACAO DE CONTAS,Lote 02,MAR e ABR/2025,PAGO,3566771.08,3566771.08,NONO REPASSE
54,2025-10-06,APROXIMADAMENTE 5 MESES ATRASO DA FESFSUS,Lote 02,MAI e JUN/2025,PAGO,4461172.29,4461172.29,DÉCIMO REPASSE
55,2025-11-26,APROXIMADAMENTE 4 MESES ATRASO DA FLEM,Lote 02,JUL a AGO/2025,PAGO,4453587.51,4461172.29,DÉCIMO PRIMEIRO REPASSE
56,2023-12-05,1 MÊS ATRASO DA SAEB,Lote 03,NOV e DEZ/2023,PAGO,6975939.05,1335166.33,PRIMEIRO REPASSE
57,2023-02-15,1 MÊS ATRASO DA SAEB,Lote 03,JAN e FEV/2024,PAGO,8765768.52,3510416.15,SEGUNDO REPASSE
58,2024-06-20,APROXIMADAMENTE  4 MESES ATRASO DA FLEM NA FINALIZAÇÃO DA PRESTACAO DE CONTAS,Lote 03,MAR e ABR/2024,PAGO,8494469.39,7532856.98,TERCEIRO REPASSE
59,2024-09-06,APROXIMADAMENTE  5 MESES ATRASO DA FLEM NA FINALIZAÇÃO DA PRESTACAO DE CONTAS,Lote 03,MAI e JUN/2024,PAGO,8370981.51,7224168.04,QUARTO REPASSE
60,2024-11-25,APROXIMADAMENTE  5 MESES ATRASO DA FLEM NA FINALIZAÇÃO DA PRESTACAO DE CONTAS,Lote 03,JUL e AGO/2024,PAGO,9123815.34,4837017.64,QUINTO REPASSE
61,2024-12-19,APROXIMADAMENTE  4 MESES ATRASO DA FLEM NA FINALIZAÇÃO DA PRESTACAO DE CONTAS,Lote 03,SET e OUT/2024,PAGO,8760155.44,8323928.54,SEXTO REPASSE
62,2025-03-20,APROXIMADAMENTE  5 MESES ATRASO DA FLEM NA FINALIZAÇÃO DA PRESTACAO DE CONTAS,Lote 03,NOV e DEZ/2024,PAGO,9504824.78,8992494.81,SETIMO REPASSE
63,2025-04-25,APROXIMADAMENTE  4 MESES ATRASO DA FLEM NA FINALIZAÇÃO DA PRESTACAO DE CONTAS,Lote 03,JAN e FEV/2025,PAGO,10634572.13,8672221.55,OITAVO REPASSE
64,2025-07-30,APROXIMADAMENTE  5 MESES ATRASO DA FLEM NA FINALIZAÇÃO DA PRESTACAO DE CONTAS,Lote 03,MAR e ABR/2025,PAGO,8660819.2,8660819.2,NONO REPASSE
65,2025-10-03,APROXIMADAMENTE 5 MESES ATRASO DA FLEM,Lote 03,MAI e JUN/2025,PAGO,8533025.32,8533025.32,DÉCIMO REPASSE
66,2025-11-26,APROXIMADAMENTE 4 MESES ATRASO DA FLEM,Lote 03,JUL e AGO/2025,PAGO,8622022.02,8533025.32,DÉCIMO PRIMEIRO REPASSE
